#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_142	6792192	402	Y	N	1	*	142
contig_44	4765379	801	Y	N	1	*	44
contig_3	4757869	1838	Y	N	3	*	3
contig_138	4045561	603	Y	N	1	*	138
contig_140	2992027	1018	Y	N	2	*	140
contig_6	2845397	1782	Y	N	3	*	6
contig_136	2718680	1466	Y	N	2	*	136
contig_95	1187799	35	N	N	1	*	-62,95,-34
contig_152	1056474	34	N	N	1	*	152,-159,89,-147,27
contig_145	913551	34	N	N	1	*	145,-146
contig_101	908096	35	N	N	1	*	-22,146,101
contig_148	788143	34	N	N	1	*	148,-147,27
contig_157	757853	32	N	N	1	*	34,157,82,158
contig_14	677925	44	N	N	1	*	-27,147,-89,14,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,24,-16,-16,-16,-16,-16,-16,-16
contig_28	582996	34	N	N	1	*	28,*
contig_58	554708	32	N	N	1	*	-19,-17,58
contig_154	539604	33	N	N	1	*	154
contig_108	508510	32	N	N	1	*	108,*
contig_141	419057	34	N	N	1	*	*,141,-30
contig_150	402580	33	N	N	1	*	150,*
contig_15	399577	37	N	N	1	*	15
contig_163	342711	35	N	N	1	*	163,112,20
contig_162	342692	34	N	N	1	*	162
contig_55	324894	32	N	N	1	*	147,-89,159,55,*
contig_144	282507	31	N	N	1	*	144
contig_100	203520	31	N	N	1	*	32,100,-32
contig_139	110002	1148	Y	N	1	*	139
contig_153	108173	29	N	N	1	*	*,153
contig_149	105240	32	N	N	1	*	-27,149,49,*
contig_156	81204	436	Y	N	1	*	156
contig_155	80271	37	N	N	1	*	155
contig_4	49448	3227	Y	N	4	*	4
contig_158	45001	11	N	Y	1	*	158
contig_121	43641	3	N	N	1	*	158,121,-158
contig_93	37708	530	N	N	48	*	91,92,91,91,91,91,92,91,91,91,93,*
contig_78	36986	20	N	N	1	*	143,78,-77,-75,-30
contig_133	35406	22	N	N	1	*	131,133,-83,82,84,-151
contig_160	35339	32	N	N	1	*	*,160,*
contig_94	24072	6	N	N	1	*	*,94,*
contig_85	23447	14	N	N	1	*	85,*
contig_80	19938	7	N	N	1	*	80,-83,82,84,-151
contig_68	19513	771	N	N	70	*	*,68,*
contig_79	17899	8	N	N	1	*	30,75,76,77,79
contig_74	17844	12	N	N	1	*	*,74,112,20
contig_13	17582	50	N	Y	1	76	*,13,*
contig_132	16721	12	N	N	1	*	132,-131
contig_113	16087	11	N	N	1	*	-20,113
contig_37	14776	36	N	N	1	*	*,37,*
contig_52	13816	42	N	Y	1	*	*,52
contig_134	9503	44	N	N	1	*	*,134,*
contig_90	9121	3028	Y	Y	5	*	90
contig_117	8607	6996	N	N	33	*	*,117,*
contig_31	7682	5	N	Y	1	*	31
contig_114	7631	19	N	N	1	*	*,114,*
contig_66	7407	4	N	N	1	*	*,66,*
contig_107	7406	9	N	N	1	*	*,107,*
contig_2	7313	67	N	N	1	*	137,2,-137
contig_61	7105	20	N	Y	1	86	*,61
contig_128	6990	11	N	Y	1	106	*,128
contig_127	6975	2657	N	N	664	*	*,127,*
contig_124	6477	11	N	Y	1	146	*,124,*
contig_36	6403	12	N	N	1	*	36
contig_54	6335	10	N	Y	1	114	54
contig_57	6323	28	N	Y	2	138	57,*
contig_53	6251	7	N	Y	1	138	53
contig_99	6220	27	N	Y	1	142	*,99,*
contig_118	6217	10	N	N	1	*	*,118,*
contig_106	6180	10	N	Y	1	120	106
contig_130	6108	6	N	Y	1	106	130
contig_166	5919	12	N	Y	1	132	*,166,*
contig_64	5757	15	N	N	1	*	-62,64
contig_63	5587	8	N	N	1	*	-62,63
contig_21	5453	23	N	Y	1	*	21
contig_59	4707	7	N	N	1	*	*,59,*
contig_97	4476	9	N	Y	1	104	*,97
contig_161	4460	16	N	Y	1	104	161,*
contig_98	4134	10	N	Y	1	104	*,98
contig_46	3578	26725	N	N	6681	*	*,46,*
contig_165	2987	2117	Y	Y	75	*	165
contig_164	2216	1185	Y	Y	51	*	164
contig_35	1738	19	N	N	1	*	35
contig_43	991	8	N	N	1	*	*,43,*
contig_23	826	6	N	Y	1	*	23
contig_25	777	3	N	N	1	*	*,25,*
contig_50	619	212	N	Y	1	70	*,50,*
contig_71	547	371	N	Y	1	60	*,71,*
contig_120	539	15	N	N	1	*	*,120
contig_26	437	3	N	N	1	*	*,26,*
